CRR_Final_Prices,Empirical_Final_Prices
2762.94519326195,2508.108628773908
2526.6583541912014,2567.8454705099234
3021.3289930180986,2337.1076364279024
2762.945193261942,3099.9110046785263
2452.475096760917,2449.7614696732294
2846.519650269986,2508.108628773909
2242.7396340646014,2508.1086287739085
2681.8245011044346,2691.621385202807
2380.469876449831,2229.634261076939
3206.8736582183687,2449.761469673229
1875.5444527159782,2177.7653653381726
2452.475096760914,3570.133708163767
2603.085530709699,3173.743091119186
2846.5196502699896,2508.1086287739063
2452.475096760913,2127.103116981947
2112.9782468432927,2508.1086287739076
2380.4698764498253,2567.8454705099234
2310.57874559836,2337.1076364279065
2452.475096760914,2392.771664451113
3303.8762065615597,2567.8454705099252
2846.5196502699896,2392.771664451113
2310.5787455983623,2229.6342610769384
2242.739634064601,2449.7614696732303
2452.475096760914,1982.0787987952178
3021.328993018101,2629.0050936277494
1875.5444527159777,2282.738543505192
1820.4780458442342,2392.7716644511142
1875.5444527159773,2449.7614696732294
2380.469876449824,2392.771664451113
1434.3334204533228,2449.7614696732294
2380.4698764498303,2629.005093627752
2242.739634064604,2691.621385202808
2242.739634064607,2755.7290394154306
2176.8922940999623,3027.7965043283752
3112.719126506793,2755.7290394154265
2762.9451932619463,3249.3336722327435
1664.7909174497786,2177.7653653381703
2681.8245011044455,2282.738543505191
2846.5196502699837,2629.005093627751
2112.978246843294,2029.2869325074398
2176.89229409996,3099.9110046785204
1767.0284010606272,2691.6213852028086
1875.5444527159752,2392.7716644511142
3021.3289930181018,2282.7385435051915
3506.772549868169,2821.363576774108
2176.8922940999614,2282.738543505192
1875.5444527159766,2077.6194452756054
3021.328993018104,2282.7385435051906
2050.9407303859675,1680.9822121150212
3021.3289930181018,2508.108628773908
2176.892294099965,2229.6342610769384
2603.0855307096995,2888.561363796557
2681.8245011044355,2392.771664451112
2452.475096760911,2449.7614696732294
2380.4698764498257,2029.2869325074391
2681.8245011044423,1762.0093273665045
2526.6583541912064,2691.6213852028054
2176.892294099961,2392.771664451112
2050.940730385969,2629.0050936277535
2050.9407303859675,2821.363576774113
2762.9451932619463,2449.761469673231
2310.5787455983614,3405.958847712298
2050.9407303859693,2077.6194452756035
2452.475096760917,2508.1086287739076
1990.724649361754,2629.005093627752
2762.9451932619445,2508.1086287739076
1664.7909174497784,2755.729039415426
2242.739634064601,2957.35963315949
2932.6220943988806,2449.76146967323
1820.4780458442349,3099.9110046785217
1820.4780458442358,2755.7290394154275
1990.7246493617522,2177.7653653381676
2603.085530709697,2177.7653653381717
1875.5444527159766,1846.942131422223
2380.4698764498253,2957.3596331594863
2310.57874559836,2449.761469673231
3021.328993018104,2449.76146967323
2310.578745598363,2177.765365338171
2176.8922940999614,1846.942131422222
2380.4698764498294,2077.619445275603
2846.519650269989,2508.1086287739063
2310.57874559836,3173.743091119185
3612.8465365765005,2337.1076364279024
2176.8922940999587,2755.729039415426
2310.5787455983595,1846.9421314222222
1990.7246493617515,2888.5613637965575
2526.658354191203,2229.6342610769384
2681.824501104443,1935.9688872480763
2380.4698764498276,2629.005093627752
2526.658354191206,2392.771664451114
2526.658354191199,2449.7614696732285
2112.9782468432936,2567.845470509919
2932.6220943988733,2177.7653653381713
2526.6583541912014,3027.796504328374
2603.085530709695,2449.7614696732285
3303.8762065615647,2449.7614696732294
2452.4750967609143,2821.3635767741116
2380.469876449829,2392.7716644511147
3112.719126506788,2449.7614696732326
2242.739634064603,2629.0050936277526
3206.873658218367,2755.729039415427
2452.4750967609157,2392.7716644511147
2310.57874559836,2077.619445275604
2310.578745598363,2691.621385202803
2380.4698764498235,2449.7614696732303
2603.0855307096936,2567.845470509924
1932.2765260167564,2567.845470509921
2932.6220943988765,2691.6213852028086
2380.469876449828,2567.8454705099216
2242.7396340646023,2957.359633159491
3112.7191265067936,2691.6213852028054
2452.47509676092,3249.3336722327444
2526.6583541912046,2567.8454705099184
2603.085530709694,2629.005093627751
3303.87620656156,2508.108628773908
3112.719126506786,2077.6194452756054
3206.873658218369,2337.107636427903
2762.945193261949,2177.7653653381717
2452.4750967609143,2449.761469673233
2681.8245011044414,2508.1086287739067
1990.7246493617536,2629.005093627754
2846.5196502699837,1982.0787987952158
2932.6220943988756,2691.6213852028077
2603.085530709693,2508.1086287739085
2762.9451932619454,2177.76536533817
2242.7396340645987,2337.1076364279056
1767.0284010606272,2888.561363796558
3206.873658218373,2177.7653653381703
2846.519650269986,2337.107636427905
2846.51965026999,2229.6342610769384
2310.5787455983586,2508.108628773909
2242.739634064599,2629.0050936277544
2762.9451932619504,2567.8454705099202
2452.4750967609166,2957.3596331594877
2452.4750967609116,2508.1086287739085
1990.7246493617542,2449.7614696732303
2681.824501104444,2392.7716644511124
1820.478045844236,2755.7290394154325
3303.876206561566,2127.1031169819466
2681.824501104441,1890.9316494736318
1990.7246493617527,2449.7614696732294
3722.129083434158,2508.1086287739076
2310.5787455983605,2957.3596331594918
2452.475096760918,2229.634261076939
2380.4698764498266,2691.621385202806
3206.873658218372,2755.729039415427
2176.8922940999623,1846.9421314222207
2310.5787455983595,2821.3635767741107
2526.658354191206,3027.796504328378
2452.4750967609198,2392.771664451115
2242.739634064603,1935.9688872480765
1820.4780458442328,1721.0189821393174
2681.824501104446,2449.7614696732294
2380.469876449825,2629.0050936277567
2242.739634064603,2392.771664451115
2452.4750967609148,1762.0093273665059
2242.739634064602,2821.3635767741084
2846.5196502699896,2629.0050936277544
2050.9407303859707,2337.1076364279024
2242.7396340646033,2567.8454705099207
2762.94519326195,3027.7965043283752
3612.8465365765046,2957.3596331594886
3112.7191265067986,2392.7716644511142
2112.978246843294,2077.619445275603
2762.9451932619477,2629.0050936277526
2526.6583541912046,2567.8454705099234
1875.5444527159784,3249.333672232745
3206.8736582183687,2508.1086287739054
1932.2765260167596,2282.738543505189
2526.6583541912046,2508.1086287739063
2310.5787455983636,2337.1076364279056
3021.3289930181013,2567.8454705099216
3112.7191265067877,2229.6342610769393
2176.8922940999646,2392.7716644511147
2526.658354191199,2029.2869325074407
2380.4698764498294,2029.2869325074394
1820.478045844233,3405.958847712297
3612.846536576504,2029.2869325074412
3403.8129192616702,2508.108628773908
2603.0855307096936,2449.7614696732294
3303.8762065615683,2691.6213852028095
2310.5787455983577,2077.619445275603
2050.9407303859675,2392.771664451113
2380.4698764498294,2077.619445275604
2176.8922940999573,2229.6342610769393
2380.469876449827,3099.9110046785236
1932.2765260167596,2127.103116981948
1820.4780458442342,2567.845470509921
3722.1290834341476,2337.107636427908
2932.622094398882,2337.1076364279043
2603.0855307097027,2392.7716644511115
2050.940730385969,1935.9688872480751
2310.5787455983586,2567.8454705099216
2681.824501104443,2691.621385202807
2681.82450110444,2177.7653653381713
2310.578745598357,2229.6342610769398
2050.9407303859684,2127.103116981947
2526.658354191202,2629.005093627751
2452.4750967609143,2449.76146967323
2846.5196502699887,2449.76146967323
2380.4698764498257,2392.771664451116
2603.085530709703,2629.0050936277535
2310.5787455983623,2337.1076364279056
2932.6220943988706,2177.7653653381676
2932.622094398878,2629.005093627752
2932.6220943988783,2888.561363796555
